Model,MAE (MW),RMSE (MW),MAPE (%),Train Time (s),Best Epoch
GRU_Baseline,509.8428,624.59784,39.069926738739014,3.4085381031036377,32
SNN_V3,3349.9968,3427.3357,275.9012222290039,4.035692930221558,31
ImprovedHybridV2,3105.1543,3211.148,260.80617904663086,0.9815819263458252,1
